"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pdha11",0.00654811973418284,0.259445722808813,0.97,0.982,1,"U","Pdha1"
"Ndufb11",0.00655184187709349,0.163272313197748,1,0.995,1,"U","Ndufb11"
"Slc37a4",0.00657389165321621,0.177396536019531,0.297,0.191,1,"U","Slc37a4"
"Atp6v0c",0.00661224961234959,0.166418996645319,1,1,1,"U","Atp6v0c"
"Mettl262",0.00661842622589906,0.330207918604508,0.792,0.745,1,"U","Mettl26"
"G6pc3",0.00667504287210119,0.214279868696843,0.574,0.457,1,"U","G6pc3"
"Rnf5",0.0066884130508677,0.150769377763595,0.564,0.415,1,"U","Rnf5"
"Ttc12",0.00668910910972076,0.141330723064885,0.188,0.102,1,"U","Ttc12"
"Med7",0.00668913636400873,0.19238116093724,0.792,0.664,1,"U","Med7"
"Gm26901",0.00671061086860545,0.0714705925900565,0.099,0.041,1,"U","Gm26901"
"Wdr591",0.00678962268951425,0.121203259623154,0.208,0.116,1,"U","Wdr59"
"Tm9sf4",0.00679044689934588,0.218230355506973,0.891,0.813,1,"U","Tm9sf4"
"Padi4",0.00680454833243719,0.0548356953298742,0.04,0.01,1,"U","Padi4"
"Morn1",0.0069268915587086,0.0422180652158399,0.04,0.01,1,"U","Morn1"
"6720489N17Rik",0.00693728449332625,0.142138406157619,0.257,0.155,1,"U","6720489N17Rik"
"Prorp1",0.00695237888181464,0.123794719165717,0.386,0.258,1,"U","Prorp"
"Shf1",0.00701386436547992,0.366947360677362,0.376,0.276,1,"U","Shf"
"Etv1",0.00701717135737571,0.203399566729978,0.406,0.281,1,"U","Etv1"
"Krt17",0.00702204439211396,1.47799002959014,0.059,0.019,1,"U","Krt17"
"Atp5f12",0.00703336462113066,0.120708118704708,1,1,1,"U","Atp5f1"
"Kifc3",0.00705629428340013,0.303648585347044,0.515,0.403,1,"U","Kifc3"
"2210016F16Rik",0.00706250476241362,0.233992363628784,0.851,0.832,1,"U","2210016F16Rik"
"1700010I14Rik",0.00707652045853012,0.0495607532892001,0.05,0.014,1,"U","1700010I14Rik"
"Gm104821",0.00708950304097458,0.199342426806972,0.079,0.03,1,"U","Gm10482"
"Brms1",0.00710398985914465,0.186713639758172,0.634,0.49,1,"U","Brms1"
"Pqlc3",0.00713881408151239,0.1709576471698,0.248,0.151,1,"U","Pqlc3"
"5730405O15Rik",0.00719626186730159,0.0474561649642766,0.05,0.014,1,"U","5730405O15Rik"
"Fras1",0.0071992056307952,0.0748438846890864,0.079,0.03,1,"U","Fras1"
"Pcmtd2",0.00723297612835535,0.195834374015815,0.446,0.315,1,"U","Pcmtd2"
"Ldhd1",0.00725676874278773,0.0464050209899884,0.05,0.014,1,"U","Ldhd"
"Kat6b",0.00731576035927436,0.146653887280112,0.416,0.285,1,"U","Kat6b"
"Itpkc",0.00731617169077289,0.0907963096369492,0.149,0.073,1,"U","Itpkc"
"Kat2b1",0.0073255335079102,0.207496860580917,0.426,0.312,1,"U","Kat2b"
"Dnmt3b",0.00734906498546733,0.565961823937184,0.178,0.097,1,"U","Dnmt3b"
"Clybl1",0.00735636582809365,0.167130349670376,0.287,0.183,1,"U","Clybl"
"Gm43466",0.00737784809643899,0.0862486479613356,0.069,0.024,1,"U","Gm43466"
"Ntn3",0.00741622412932411,0.0962130341796789,0.099,0.041,1,"U","Ntn3"
"Msh6",0.00743290972311781,0.328672774119843,0.663,0.566,1,"U","Msh6"
"Gm49767",0.00745126946375517,0.1061536422377,0.139,0.067,1,"U","Gm49767"
"AI429214",0.00747116219293382,0.0884995023218573,0.089,0.036,1,"U","AI429214"
"Syt81",0.00747171655271764,0.122987586410817,0.059,0.019,1,"U","Syt8"
"Tecpr2",0.00748720837128056,0.143127689446493,0.188,0.104,1,"U","Tecpr2"
"Satb1",0.00749824051392111,0.0949089861010274,0.168,0.086,1,"U","Satb1"
"Snapc51",0.00754498631517095,0.173634126687009,0.545,0.403,1,"U","Snapc5"
"Oma1",0.00755310570307251,0.147483260709615,0.356,0.238,1,"U","Oma1"
"Nectin4",0.00758214162020951,0.0611911903696978,0.03,0.006,1,"U","Nectin4"
"Tnfsf111",0.00760693282478267,0.263983385539807,0.366,0.244,1,"U","Tnfsf11"
"Tmem245",0.00760815626886481,0.193450641470461,0.634,0.512,1,"U","Tmem245"
"Dhrs9",0.00761938583274342,0.124505354911925,0.03,0.006,1,"U","Dhrs9"
"Tbc1d81",0.00766755287771789,0.119110575982547,0.119,0.055,1,"U","Tbc1d8"
"Pard3",0.00766770258502438,0.224408045392604,0.653,0.524,1,"U","Pard3"
"Lad11",0.00767890865424641,0.206723207289043,0.119,0.055,1,"U","Lad1"
"L3mbtl3",0.00772381772716231,0.215692401917319,0.505,0.374,1,"U","L3mbtl3"
"Rusc1",0.00773020378323774,0.159180170415187,0.317,0.203,1,"U","Rusc1"
"Trim62",0.00776582704050222,0.0803313557134754,0.099,0.041,1,"U","Trim62"
"Fbxo25",0.00778331202714908,0.184149539421305,0.366,0.251,1,"U","Fbxo25"
"Babam2",0.00778376780868863,0.216261958539152,0.723,0.617,1,"U","Babam2"
"Lor",0.00778806337599034,0.0464550581023108,0.03,0.006,1,"U","Lor"
"2900093K20Rik",0.00780384258891689,0.105726022460639,0.129,0.061,1,"U","2900093K20Rik"
"Adck2",0.007828207969701,0.0900703589137438,0.188,0.101,1,"U","Adck2"
"Slc7a14",0.00786427446563728,0.0443350062279415,0.03,0.006,1,"U","Slc7a14"
"A3galt2",0.00788304254601411,0.0337104539475907,0.03,0.006,1,"U","A3galt2"
"Eps8l1",0.00788304254601411,0.0337104539475907,0.03,0.006,1,"U","Eps8l1"
"Spag6l1",0.00788304254601411,0.0337104539475907,0.03,0.006,1,"U","Spag6l"
"Rell2",0.00788304254601411,0.0337104539475907,0.03,0.006,1,"U","Rell2"
"Lag3",0.007940837775251,0.0326492585772803,0.03,0.006,1,"U","Lag3"
"Fam187b",0.007940837775251,0.0326492585772803,0.03,0.006,1,"U","Fam187b"
"Ttll13",0.007940837775251,0.0326492585772803,0.03,0.006,1,"U","Ttll13"
"H2-M5",0.007940837775251,0.0326492585772803,0.03,0.006,1,"U","H2-M5"
"Apip",0.00795159722742168,0.193115873193765,0.762,0.655,1,"U","Apip"
"LTO1",0.00797932010438317,0.181039319342869,0.416,0.292,1,"U","LTO1"
"Astn2",0.00799898189325439,0.0315888432109874,0.03,0.006,1,"U","Astn2"
"Plcb41",0.00802773601654171,0.23177019382155,0.426,0.309,1,"U","Plcb4"
"Btbd11",0.00803731987461805,0.0557546188400728,0.059,0.019,1,"U","Btbd11"
"Impact1",0.00806081325254618,0.193340858815176,0.594,0.455,1,"U","Impact"
"Zfp970",0.00812324460735145,0.165251106157442,0.178,0.099,1,"U","Zfp970"
"Afap1l1",0.00813953726744678,0.12838849904856,0.109,0.048,1,"U","Afap1l1"
"Aldh16a11",0.00828651895844757,0.152136583617793,0.455,0.325,1,"U","Aldh16a1"
"Ephb61",0.00831195475510414,0.12838849904856,0.129,0.061,1,"U","Ephb6"
"Gdi2",0.00836244460998749,0.164094836577794,1,0.999,1,"U","Gdi2"
"Dnajc28",0.00841708374885657,0.0868676975485595,0.079,0.03,1,"U","Dnajc28"
"Pak11",0.00843082247898167,0.282168857936593,0.525,0.423,1,"U","Pak1"
"Lrrn1",0.00844868022414026,0.0431617227492483,0.079,0.03,1,"U","Lrrn1"
"Cish",0.00845067608450856,0.116797711320943,0.218,0.125,1,"U","Cish"
"Samd121",0.00863242724132594,0.136120958512221,0.198,0.11,1,"U","Samd12"
"Ccdc1361",0.0087338001093548,0.137778948601418,0.228,0.132,1,"U","Ccdc136"
"Fhit",0.00873496924563798,0.0817170493040967,0.089,0.036,1,"U","Fhit"
"Slc7a7",0.00873742696627446,0.318134355224465,0.188,0.108,1,"U","Slc7a7"
"Pex26",0.00874873637351903,0.118791270605645,0.119,0.056,1,"U","Pex26"
"Stx7",0.00878905672184402,0.299175283242282,0.663,0.588,1,"U","Stx7"
"Gtf2ird2",0.00878988151919508,0.0895237799941966,0.178,0.095,1,"U","Gtf2ird2"
"Reep4",0.00879037986709844,0.165505213606956,0.624,0.471,1,"U","Reep4"
"Sft2d21",0.00879290415087572,0.178589803204843,0.356,0.238,1,"U","Sft2d2"
"Psmb31",0.00879797802762127,0.134082872801832,1,1,1,"U","Psmb3"
"Cd552",0.0088574783595224,0.173097158789123,0.485,0.335,1,"U","Cd55"
"2310061I04Rik2",0.00885975064503028,0.169678735087227,0.653,0.511,1,"U","2310061I04Rik"
"Foxo1",0.00890287282984991,0.17899460732233,0.436,0.315,1,"U","Foxo1"
"Ctnnbip11",0.00890303213191062,0.281962979229017,0.95,0.947,1,"U","Ctnnbip1"
"Ptch1",0.00891734484310547,0.312021296580437,0.396,0.303,1,"U","Ptch1"
"Top3b",0.00899245198628428,0.260266755906174,0.574,0.473,1,"U","Top3b"
"Erbb3",0.00900966856665709,0.0335925047964896,0.129,0.06,1,"U","Erbb3"
"Kif13a1",0.00905178463755498,0.208300095675226,0.554,0.432,1,"U","Kif13a"
"Kif3a",0.00906170413398441,0.141071718463266,0.475,0.342,1,"U","Kif3a"
"Parp6",0.0091178386801372,0.153026722300355,0.248,0.151,1,"U","Parp6"
"Rcan1",0.0092246823330005,0.224024815582608,0.416,0.309,1,"U","Rcan1"
"Elovl61",0.00928297890835097,0.375097371469472,0.693,0.607,1,"U","Elovl6"
"Cd2ap1",0.00930013230183189,0.190426289309017,0.931,0.934,1,"U","Cd2ap"
"Ccl27a",0.00931281358850473,0.121758971284238,0.218,0.127,1,"U","Ccl27a"
"Ahi1",0.00932518055028886,0.190390491757041,0.545,0.415,1,"U","Ahi1"
"Mea1",0.00939102515660614,0.213834860663754,0.792,0.745,1,"U","Mea1"
"Csnk1g3",0.00940995607665944,0.154193617217351,0.911,0.856,1,"U","Csnk1g3"
"Pnpla6",0.00947551386336066,0.171065046488013,0.257,0.16,1,"U","Pnpla6"
