"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C130021I20Rik",2.03994383146675e-24,0.180775852220154,0.099,0.01,3.78511577928655e-20,"7","C130021I20Rik"
"mt-Atp61",2.06579210682039e-24,0.412547776102747,1,1,3.83307725420524e-20,"7","mt-Atp6"
"Lrrc43",2.12640054612022e-24,0.167678454577388,0.093,0.008,3.94553621332607e-20,"7","Lrrc4"
"Gm47163",2.14672418851655e-24,0.160911138519774,0.093,0.008,3.98324673179246e-20,"7","Gm47163"
"Ogt2",2.45776473774799e-24,0.771515066393863,0.843,0.631,4.5603824708914e-20,"7","Ogt"
"Ndufa15",2.53320515087364e-24,0.646298844978728,0.983,0.912,4.70036215744603e-20,"7","Ndufa1"
"St8sia41",2.59496793907453e-24,0.471114209956043,0.209,0.043,4.81496301095279e-20,"7","St8sia4"
"Psip13",2.68815783985859e-24,0.636228562929527,1,0.935,4.98787687185762e-20,"7","Psip1"
"Plekha61",3.19508205864172e-24,0.523571568817041,0.291,0.079,5.92847475980971e-20,"7","Plekha6"
"Hnrnpa02",3.21478833573977e-24,0.540088783626181,1,0.988,5.96503975696515e-20,"7","Hnrnpa0"
"Usp310",3.31580168599589e-24,0.843110348652509,0.698,0.49,6.15247002836538e-20,"7","Usp3"
"1700025G04Rik2",3.3700507947693e-24,0.845515030787334,0.552,0.285,6.25312924969444e-20,"7","1700025G04Rik"
"Cmpk12",3.37073084163418e-24,0.613875292128908,0.994,0.89,6.25439107665222e-20,"7","Cmpk1"
"Nrgn",3.65053228952383e-24,0.375524333674646,0.064,0.004,6.77356266321147e-20,"7","Nrgn"
"Adnp1",3.77125192466037e-24,0.737350073049857,0.971,0.811,6.99755794620732e-20,"7","Adnp"
"Senp7",3.91327945676548e-24,0.858811639025655,0.581,0.323,7.26109003202834e-20,"7","Senp7"
"Bzw22",4.19924514454136e-24,0.6165649469327,1,0.973,7.79169936569649e-20,"7","Bzw2"
"Fam227a",4.21180456831342e-24,0.194486994532585,0.122,0.015,7.81500337650555e-20,"7","Fam227a"
"Cox201",4.24354670184345e-24,0.837472434705173,0.669,0.442,7.87390090527052e-20,"7","Cox20"
"Patz12",4.37569994288246e-24,0.838249958324579,0.599,0.347,8.1191112440184e-20,"7","Patz1"
